frame_no,minute,blink_detection,blink_count,left_ear,right_ear,avg_ear,dynamic_ear,ear_smoothed,blink_stage,blink_duration,short_blink_count_per_minute,normal_blink_count_per_minute,long_blink_count_per_minute,eye_status,Blink Type Fuzzy approach a,Blink Type Fuzzy approach b,attention_percentage,attention_level,pitch,yaw,roll,head_movement,head_level
0,0,No,0,0.2457,0.2329,0.2393,0.2153,0.2393,No,0.0,0,0,0,Active,Short,Short,100.0,High,-2.28,2.1,-0.08,Looking Forward,Concentration
1,0,No,0,0.2326,0.2344,0.2335,0.215,0.2389,No,0.0,0,0,0,Active,Short,Short,100.0,High,-1.83,2.64,-0.07,Looking Forward,Concentration
2,0,No,0,0.2502,0.2416,0.2459,0.2154,0.2393,No,0.0,0,0,0,Active,Short,Short,100.0,High,-2.54,1.98,-0.06,Looking Forward,Concentration
3,0,No,0,0.2416,0.2346,0.2381,0.2153,0.2393,No,0.0,0,0,0,Active,Short,Short,100.0,High,-2.53,2.5,-0.07,Looking Forward,Concentration
4,0,No,0,0.2389,0.2442,0.2416,0.2155,0.2394,No,0.0,0,0,0,Active,Short,Short,100.0,High,-1.81,2.85,-0.08,Looking Forward,Concentration
5,0,No,0,0.244,0.2395,0.2418,0.2156,0.2396,No,0.0,0,0,0,Active,Short,Short,100.0,High,-1.48,2.73,-0.07,Looking Forward,Concentration
6,0,No,0,0.2445,0.2337,0.2391,0.2156,0.2395,No,0.0,0,0,0,Active,Short,Short,100.0,High,-2.21,2.64,-0.07,Looking Forward,Concentration
7,0,No,0,0.2534,0.2398,0.2466,0.216,0.24,No,0.0,0,0,0,Active,Short,Short,100.0,High,-2.61,3.18,-0.08,Looking Forward,Concentration
8,0,No,0,0.2463,0.2447,0.2455,0.2163,0.2404,No,0.0,0,0,0,Active,Short,Short,100.0,High,-2.46,3.21,-0.08,Looking Forward,Concentration
9,0,No,0,0.225,0.2228,0.2239,0.2154,0.2393,No,0.0,0,0,0,Active,Short,Short,100.0,High,-2.43,3.23,-0.08,Looking Forward,Concentration
10,0,No,0,0.2389,0.2408,0.2398,0.2154,0.2393,No,0.0,0,0,0,Active,Short,Short,100.0,High,-2.71,3.26,-0.08,Looking Forward,Concentration
