test,x,y,n,statistic,p_value,null_hypothesis,alternative_hypothesis,interpretation
Pearson,attentionScore,blinkScore,41,0.3487379319203356,0.025441743121781046,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,attentionScore,blinkConfidence,41,0.0722477710706626,0.6535092326940443,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,attentionScore,fatigueScore,41,-0.35943473633367956,0.02099563703219275,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,attentionScore,attentionDriftScore,41,0.3594347363336793,0.02099563703219291,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,attentionScore,bpm,41,0.10775487878841603,0.5024836386257535,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,attentionScore,ibiMean,41,-0.12233393212158808,0.44608171438916633,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,attentionScore,ibiStd,41,-0.01667033082141113,0.9176072231689376,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,attentionScore,blinkVariability,41,0.13910768090450049,0.38571949701752306,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,attentionScore,headScore,41,-0.041026630643132264,0.7989689269978939,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,attentionScore,pitch,41,0.23652324571251546,0.13652184767349432,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,attentionScore,yaw,41,-0.3266134098150877,0.037140911582266165,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,attentionScore,roll,41,-0.3146490034514927,0.045108255608365705,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,attentionScore,gazeScore,41,-0.009000128084641009,0.9554630448127672,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,attentionScore,gazeConfidence,41,-0.9658520852601028,1.7490305558968004e-24,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,attentionScore,finalAttentionScore,41,0.9999999999999999,0.0,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,attentionScore,fusionConfidence,41,-0.8780937357223502,4.698769619294944e-14,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,blinkScore,blinkConfidence,41,0.44913286212335934,0.0032229512352494566,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,blinkScore,fatigueScore,41,-0.9255376509242755,4.864121675222497e-18,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,blinkScore,attentionDriftScore,41,0.925537650924276,4.8641216752219434e-18,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,blinkScore,bpm,41,0.6375511132457324,7.360103904016987e-06,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,blinkScore,ibiMean,41,-0.5667782876941379,0.00011183262355470166,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,blinkScore,ibiStd,41,-0.35013745700087845,0.024818945045069957,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,blinkScore,blinkVariability,41,0.15361251411901142,0.33761457564782943,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,blinkScore,headScore,41,-0.17411880821861309,0.27625592071935523,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,blinkScore,pitch,41,0.12149331632084988,0.4492365321543527,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,blinkScore,yaw,41,-0.04997774603222951,0.7563243436723966,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,blinkScore,roll,41,-0.1278014473280914,0.42586073469949054,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,blinkScore,gazeScore,41,-0.07946167619453172,0.621411971707152,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,blinkScore,gazeConfidence,41,-0.1622137454633034,0.31092435249136974,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,blinkScore,finalAttentionScore,41,0.3487379319203356,0.025441743121781046,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,blinkScore,fusionConfidence,41,-0.02528557503968311,0.8753042549184555,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,blinkConfidence,fatigueScore,41,-0.09488960807410285,0.5551007260108104,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,blinkConfidence,attentionDriftScore,41,0.09488960807410343,0.5551007260108074,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,blinkConfidence,bpm,41,0.4372483574674529,0.004254803835977575,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,blinkConfidence,ibiMean,41,-0.7447825367116964,2.3559259448147466e-08,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,blinkConfidence,ibiStd,41,-0.9515416410157999,1.416295259743687e-21,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,blinkConfidence,blinkVariability,41,-0.7221392432327403,9.856294499117223e-08,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,blinkConfidence,headScore,41,0.5061584930149167,0.0007345322627773046,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,blinkConfidence,pitch,41,-0.07307278982597053,0.6498056520026047,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,blinkConfidence,yaw,41,0.10537049664513685,0.5120402579182618,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,blinkConfidence,roll,41,0.08919997453024549,0.57916639357942,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,blinkConfidence,gazeScore,41,-0.8166706051242443,7.504881290465272e-11,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,blinkConfidence,gazeConfidence,41,0.1092417530283422,0.49657046817795175,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,blinkConfidence,finalAttentionScore,41,0.0722477710706626,0.6535092326940443,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,blinkConfidence,fusionConfidence,41,0.3812107337741229,0.013928420640355436,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,fatigueScore,attentionDriftScore,41,-1.0,0.0,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,fatigueScore,bpm,41,-0.5226812204854211,0.00045525921333157047,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,fatigueScore,ibiMean,41,0.28746324777441223,0.0683913135271423,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,fatigueScore,ibiStd,41,-0.018186643965630966,0.9101421296058874,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,fatigueScore,blinkVariability,41,-0.44973881832365553,0.0031767917840042808,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,fatigueScore,headScore,41,0.38205725597201756,0.013700573135812135,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,fatigueScore,pitch,41,-0.16958167695107568,0.28915680187285314,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,fatigueScore,yaw,41,0.08552393461243205,0.5949609447834586,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,fatigueScore,roll,41,0.17679092920811765,0.26883730919607585,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,fatigueScore,gazeScore,41,-0.22560857319997968,0.15610733003048538,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,fatigueScore,gazeConfidence,41,0.22686107567193267,0.1537612081129074,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,fatigueScore,finalAttentionScore,41,-0.35943473633367956,0.02099563703219275,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,fatigueScore,fusionConfidence,41,0.18446104997476545,0.2482785468368225,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,attentionDriftScore,bpm,41,0.5226812204854216,0.0004552592133315603,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,attentionDriftScore,ibiMean,41,-0.2874632477744128,0.06839131352714191,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,attentionDriftScore,ibiStd,41,0.01818664396563044,0.9101421296058917,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,attentionDriftScore,blinkVariability,41,0.44973881832365525,0.0031767917840043063,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,attentionDriftScore,headScore,41,-0.38205725597201756,0.013700573135812135,H0: Pearson r = 0,H1: Pearson r != 0,reject H0 at alpha=0.05
Pearson,attentionDriftScore,pitch,41,0.1695816769510754,0.2891568018728536,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
Pearson,attentionDriftScore,yaw,41,-0.08552393461243207,0.5949609447834586,H0: Pearson r = 0,H1: Pearson r != 0,fail to reject H0 at alpha=0.05
