variable,missing_count,missing_percentage
timestamp,0,0.0
attentionScore,0,0.0
attentionState,0,0.0
blinkScore,0,0.0
blinkConfidence,0,0.0
fatigueScore,0,0.0
fatigueConfidence,0,0.0
attentionDriftScore,0,0.0
attentionDriftTrend,0,0.0
bpm,0,0.0
ibiMean,0,0.0
ibiStd,0,0.0
blinkVariability,0,0.0
headScore,0,0.0
headConfidence,0,0.0
pitch,0,0.0
yaw,0,0.0
roll,0,0.0
headDirection,0,0.0
gazeScore,0,0.0
gazeConfidence,0,0.0
gazeDirection,0,0.0
finalAttentionScore,0,0.0
fusionConfidence,0,0.0
source_file,0,0.0
dataset_id,0,0.0
participant_id,0,0.0
sample_index,0,0.0
elapsed_seconds,0,0.0
blinkWeight_recomputed,0,0.0
headWeight_recomputed,0,0.0
gazeWeight_recomputed,0,0.0
blinkContribution_recomputed,0,0.0
headContribution_recomputed,0,0.0
gazeContribution_recomputed,0,0.0
rawAttentionScore_recomputed,0,0.0
conflictPenalty_recomputed,0,0.0
finalAttentionScore_recomputed,0,0.0
