source_file,kind,row_count,column,dtype,missing_values,min_value,max_value
C:\Users\santh\Downloads\blink-detection-main\datasets\attention_session_20260616_233539.csv,session_csv,41,timestamp,object,0,,
C:\Users\santh\Downloads\blink-detection-main\datasets\attention_session_20260616_233539.csv,session_csv,41,attentionScore,float64,0,63.31896244185696,78.88438666595184
C:\Users\santh\Downloads\blink-detection-main\datasets\attention_session_20260616_233539.csv,session_csv,41,attentionState,object,0,,
C:\Users\santh\Downloads\blink-detection-main\datasets\attention_session_20260616_233539.csv,session_csv,41,blinkScore,float64,0,78.04557330349105,89.4096274022713
C:\Users\santh\Downloads\blink-detection-main\datasets\attention_session_20260616_233539.csv,session_csv,41,blinkConfidence,float64,0,84.47777777777777,96.4
C:\Users\santh\Downloads\blink-detection-main\datasets\attention_session_20260616_233539.csv,session_csv,41,fatigueScore,float64,0,6.307338728843204,17.358969009259116
C:\Users\santh\Downloads\blink-detection-main\datasets\attention_session_20260616_233539.csv,session_csv,41,fatigueConfidence,int64,0,1.0,1.0
C:\Users\santh\Downloads\blink-detection-main\datasets\attention_session_20260616_233539.csv,session_csv,41,attentionDriftScore,float64,0,82.64103099074089,93.6926612711568
C:\Users\santh\Downloads\blink-detection-main\datasets\attention_session_20260616_233539.csv,session_csv,41,attentionDriftTrend,object,0,,
C:\Users\santh\Downloads\blink-detection-main\datasets\attention_session_20260616_233539.csv,session_csv,41,bpm,int64,0,2.0,23.0
C:\Users\santh\Downloads\blink-detection-main\datasets\attention_session_20260616_233539.csv,session_csv,41,ibiMean,float64,0,4347.241935483871,6826.590909090909
C:\Users\santh\Downloads\blink-detection-main\datasets\attention_session_20260616_233539.csv,session_csv,41,ibiStd,float64,0,12591.606100232118,20586.15809151888
C:\Users\santh\Downloads\blink-detection-main\datasets\attention_session_20260616_233539.csv,session_csv,41,blinkVariability,float64,0,2.3832202600640926,3.229529285273207
C:\Users\santh\Downloads\blink-detection-main\datasets\attention_session_20260616_233539.csv,session_csv,41,headScore,float64,0,91.88683904532432,98.89253871421867
C:\Users\santh\Downloads\blink-detection-main\datasets\attention_session_20260616_233539.csv,session_csv,41,headConfidence,int64,0,70.0,70.0
C:\Users\santh\Downloads\blink-detection-main\datasets\attention_session_20260616_233539.csv,session_csv,41,pitch,float64,0,-6.513923605458984,9.312794845872912
C:\Users\santh\Downloads\blink-detection-main\datasets\attention_session_20260616_233539.csv,session_csv,41,yaw,float64,0,-63.02585490963396,32.01793647856432
C:\Users\santh\Downloads\blink-detection-main\datasets\attention_session_20260616_233539.csv,session_csv,41,roll,float64,0,-24.89153107637461,2.3157149439646623
C:\Users\santh\Downloads\blink-detection-main\datasets\attention_session_20260616_233539.csv,session_csv,41,headDirection,object,0,,
C:\Users\santh\Downloads\blink-detection-main\datasets\attention_session_20260616_233539.csv,session_csv,41,gazeScore,float64,0,2.2349397590361444,5.690792747955919
C:\Users\santh\Downloads\blink-detection-main\datasets\attention_session_20260616_233539.csv,session_csv,41,gazeConfidence,float64,0,27.151386514678038,55.75775643908332
C:\Users\santh\Downloads\blink-detection-main\datasets\attention_session_20260616_233539.csv,session_csv,41,gazeDirection,object,0,,
C:\Users\santh\Downloads\blink-detection-main\datasets\attention_session_20260616_233539.csv,session_csv,41,finalAttentionScore,float64,0,63.31896244185696,78.88438666595184
C:\Users\santh\Downloads\blink-detection-main\datasets\attention_session_20260616_233539.csv,session_csv,41,fusionConfidence,float64,0,61.79209615154642,73.92295585006481
C:\Users\santh\Downloads\blink-detection-main\datasets\attention_session_20260616_233542.json,session_json_samples,41,timestamp,object,0,,
