variable,count,mean,std,min,q1,median,q3,max
attentionScore,41,69.54398932112021,5.152249418444696,63.31896244185696,65.71224145796404,66.89410674246501,75.25629904681927,78.88438666595184
blinkScore,41,85.98480238136409,2.500021635216725,78.04557330349105,84.78000816003005,86.34756891227485,87.84905285750668,89.4096274022713
blinkConfidence,41,93.89620596205962,3.2718840124618263,84.47777777777777,94.03333333333332,95.25555555555556,96.14444444444445,96.4
fatigueScore,41,10.926530370018632,2.5853122060397182,6.307338728843204,8.615039065408626,11.258723617867703,11.662176788074852,17.358969009259116
fatigueConfidence,41,1.0,0.0,1.0,1.0,1.0,1.0,1.0
attentionDriftScore,41,89.07346962998137,2.5853122060397173,82.64103099074089,88.33782321192515,88.7412763821323,91.38496093459138,93.6926612711568
bpm,41,13.951219512195122,5.045892894043219,2.0,10.0,14.0,18.0,23.0
ibiMean,41,5117.761970468512,554.6576207042326,4347.241935483871,4610.079365079365,5038.377049180328,5479.836363636364,6826.590909090909
ibiStd,41,14581.02829544556,2134.4527907997426,12591.606100232118,12796.105685606915,13717.86078334892,15713.24895676004,20586.15809151888
blinkVariability,41,2.844875377857091,0.20827464071420057,2.3832202600640926,2.746494818085797,2.894336287831164,2.9968199233877693,3.229529285273207
headScore,41,95.50927884422596,2.5417033913093015,91.88683904532432,93.32995951417004,94.54823675625292,98.671918964547,98.89253871421867
headConfidence,41,70.0,0.0,70.0,70.0,70.0,70.0,70.0
pitch,41,0.37842147303912205,2.739437243091423,-6.513923605458984,-0.3065652683610151,0.0569795497938052,0.7249479448478264,9.312794845872912
yaw,41,-3.506306787779545,15.351840525368848,-63.02585490963396,-0.8757853906210284,0.1238470290142612,0.540330713390829,32.01793647856432
roll,41,-1.182976751370259,4.520418846862535,-24.89153107637461,-0.499962748452864,0.2458387623890144,0.699466051022977,2.3157149439646623
gazeScore,41,3.7025379462978205,0.8799923668062088,2.2349397590361444,2.808478425435276,3.938342712126227,4.191409719578734,5.690792747955919
gazeConfidence,41,45.938613041428184,10.883124076348484,27.151386514678038,30.54815712664777,51.572167655312825,53.63686511861035,55.75775643908332
finalAttentionScore,41,69.54398932112021,5.152249418444696,63.31896244185696,65.71224145796404,66.89410674246501,75.25629904681927,78.88438666595184
fusionConfidence,41,69.94493966782926,3.9005333706318797,61.79209615154642,65.30864496814185,72.07500864439037,73.04378868717559,73.92295585006481
